 ,Label,Area,Mean,Angle,Length
1,,0.133,234.028,-148.312,18.602
2,,0.070,223.781,-76.004,9.805
3,,0.050,218.505,-84.336,6.948
4,,0.094,238.641,-103.098,13.113
5,,0.050,216.624,-31.931,6.969
6,,0.127,240.047,166.923,17.805
7,,0.158,242.457,-49.816,22.140
8,0010.jpg,0.000,0.000,81.273,0.000
9,0010.jpg:1170-0732,0.000,0.000,36.610,0.000
10,0010.jpg:0830-0684,0.000,0.000,17.978,0.000
11,0010.jpg:0830-0792,0.000,0.000,43.807,0.000
12,0010.jpg:1084-1084,0.000,0.000,51.416,0.000
13,0010.jpg:1178-1084,0.000,0.000,26.012,0.000
